id	CIF	nomor_identitas	nama_sesuai_identitas	alamat
1	CUST000001	5513356044383860	Puti Ratna Padmasari	Ds. Wahidin Sudirohusodo No. 799, Kupang 58166, NTT
 2 	CUST000002	4556085568899390	 Nadia L Agustina 	Gg. Kyai Gede No. 483, Sawahlunto 26889, Sumbar 
3	CUST000003	Viki Hariyah	Jambi, Dahlia 477
4	CUST000004	5414991088771110	Iksan Suwarno	Ki. Dahlia No. 543, Madiun 25474, JaTim
5	CUST000005	6011062858521030	Umar Setiawan	Kpg. Orang 983, Bandung 80226, Jawa Barat
6	CUST000006	4024007182053110	Hadi Natsir	Jr. Lumban Tobing No. 732, Batam 43831, Kepri
7	CUST000007	5200650193764610	Nova Yuniarti	
8	CUST000008	510943428766323O	Kadir Rajasa	Desa Sentot Alibasa No. 92, Banjarmasin Kalimantan Selatan
9	CUST000009	5405490014300840	Tio Ban Cung	Dk. Rumah Sakit No. 23, Palembang 91530, JaTeng
10	CUST000010	4024007182053110	Hadi Natsir	Batam - Lumban Tobing 732
11	CUST000011	5594413739514990	Ade Ajeng Purwanti S.I.Kom	Jr. Umalas No. 445, Jayapura 20568, Papua
12	CUST000012	4916400749404660	Jati Adi	Jalan raya Wates Kilometer 3 Yogyakarta Yogyakarta
13	CUST000013	455647574948180O	Olivia Rahayu	Dk. Soekarno Hatta No. 770, Batu 76388, JaBar
14	CUST000014	4024007149721660	Gina Pratiwi	Kpg. Setiabudhi No. 245, Tangerang 80051, SulTeng
15	CUST000015	5114882255280530	Opung Mansur M.M.	Ki. R.E. Martadinata No. 391, Kendari 55051, DIY
16	CUST000016	6011068935379450	Elisa Prastuti	Kpg. Suprapto No. 60, Tidore Kepulauan 33603, Maluku Utara
17	CUST000017	5204646680624910	Asmad Sihombing	Abdullah 319 Metro jakarta Barat
18	CUST000018	5310842372996320	Capa Gunawan	Gg. Kalimalang No. 33, Banjarmasin 60536, Kalimantan Selatan
19	CUST000019	4024007177917710	Sabri Pangestu	Kampung  Agus Salim 527 Padang
20	CUST000020	55245872984064OO	Radika Hendri Ramadhan S.Gz	Jr. Yap Tjwan Bing No. 525, Tg. Pinang  Kep Riau
21	CUST000021	4556085568899390	Nadia Lintang Agustina	Gg. Kyai Gede No. 483, Sawahlunto 26889, Sumbar
22	CUST000022	5548040671917160	Diana Andriani	Jr. Abdullah No. 234, Denpasar 25791, Bali
23	CUST000023	5461008152511090	Hesti Anggraini	Kampung Dipatiukur 174, Cimahi Jawa Barat
24	CUST000024	523448058716858O	Purwanto Wasis Ardianto S.E.	Jln. Industri No. 549, Bitung SulUt
25	CUST000025	5549215284212220	Ratih Rahayu Wastuti M.Kom.	Ki. Jambu No. 29, Tarakan 40779, Kalimantan Utara
26	CUST000026	5449924520294580	Jail Gunawan	Kyai Gede 542, Banjarbaru 10298, Kalimantan selatan
27	CUST000027	5242155075234330	Prima Haryanto M.Farm	Cut Nyak Dien No. 872, Pangkal Pinang 56643, BangBel
28	CUST000028	4929416019069670	Salman Manullang S.Sos	Jln. Bayam No. 858, Salatiga Jawa Tengah
29	CUST000029	4024007170418210	Lukita Ega Jailani	Jend. Sudirman No. 896, Bandar Lampung 69294
30	CUST000030	5332639317878030	Rusman Luwes Hutasoit	Dk. Basuki No. 348, Dumai Jambi
31	CUST000031	6011158977332040	Asirwanda Pradana S.Gz	Ds. Bata Putih No. 805, Madiun 75463, Jawa Timur
32	CUST000032	6011234314231560	Karsa Sitorus	Ki. Abdul 401, Ternate Maluku Utara
33	CUST000033	4929614581019170	Ina Yanuar	Gang Abdul. Muis No. 691, Surakarta 97516, Jateng
34	CUST000034	4024007193375820	Sari Hastuti S.Psi	Psr. Labu No. 889, Medan 63889, Sumut
35	CUST000035	4916400749404660	Jati	Jl Wates Km. 3 Yogyakarta Yogyakarta
36	CUST000036	4716834641345900	Abhi	Jalan Wahidin 966 RT 8 RW 9 Jogjakarta
37	CUST000037	5272108387968490	Langgeng Joko Natsir	Kampung Radio no 348 Tanjungbalai Sumatera Utara
38	CUST000038	5557286897432380	Mursita Surya Irawan	Jln. R.M. Said No. 980, Pangkal Pinang 64241, SumBar
39	CUST000039	4556042253011460	Mustika Wibowo	Pasar Honggowongso No. 650, Cimahi 14565, Gorontalo
40	CUST000040	6011062858521030	Setiawan Umar	Kampung Urang No. 983, Bandung Jawa Barat
41	CUST000041	53958679306616GO	Luluh Anggriawan	Gg. Thamrin No. 559, Ambon 71806, Maluku
42	CUST000042	4556836390	Septi Humaira Hartati M.M.	Ki. Suniaraja No. 768, Gunungsitoli 76050, Sumut
43	CUST000043	4929273745492110	Yollanda Dinda	Jln. Sudirman No. 468, Payakumbuh 60901, BaBel
44	CUST000044	5214145029625140	Vivi Cornelia Hastuti	Jln. Lada No. 965, Depok 35298, JaBar
45	CUST000045	4539604112909270	Respati Prasetya M	Diponegoro No. 171, Probolinggo 57006, Jawa Timur
46	CUST000046	4024007130732770	Hesti Iriana Yulianti	Jln. Tubagus Ismail No. 295, Administrasi Jakarta Selatan 30981, JakSel
47	CUST000047	4024007192275820	Sari Hastuti S.Psi	Psr. Labu No. 889, Medan 63889, Sumut
48	CUST000048	5306846665376680	Cemani Maheswara	Gg. Moch. Yamin No. 330, Probolinggo 26035, Jatim
49	CUST000049	5549525421263710	Ratih Rahayu Wastuti M.Kom.	Ds. Baranang No. 878, Tanjungbalai 49900, Sumatera Utara
50	CUST000050	5498382229499510	Salimah Pertiwi	Jl. Baan Blok GH 2 No. 828, Malang 68837, Jawa Timur
51	CUST000051	448587294808402o	Aisyah Wulandari	Psr. Bakin No. 518, Bogor 41216, BaBel
52	CUST000052	5495024463314370	Saptono Maryanto	Jln. Mulyadi No. 830, Tidore Kepulauan 60620, Maluku Utara
53	CUST000053	5493961324104720	Upik Wisnu Pranowo	Gg. Gajah No. 833, Bengkulu
