KODE_JENIS_PELAPOR|KODE_PELAPOR|BULAN_DATA|NOMOR_CIF_LAMA_DEBITUR|NOMOR_CIF_DEBITUR|JENIS_IDENTITAS|NOMOR_IDENTITAS|NAMA_SESUAI_IDENTITAS|NAMA_LENGKAP|KODE_STATUS_PENDIDIKAN_ATAU_GELAR_DEBITUR|JENIS_KELAMIN|TEMPAT_LAHIR|TANGGAL_LAHIR|NAMA_GADIS_IBU_KANDUNG|NPWP|ALAMAT|KELURAHAN|KECAMATAN|KODE_KABUPATEN_ATAU_KOTA|KODE_POS|NOMOR_TELEPON|NOMOR_TELEPON_SELULER|ALAMAT_E-MAIL|KODE_NEGARA_DOMISILI|KODE_PEKERJAAN|TEMPAT_BEKERJA|KODE_BIDANG_USAHA_TEMPAT_KERJA|ALAMAT_TEMPAT_BEKERJA|KODE_GOLONGAN_DEBITUR|STATUS_PERKAWINAN_DEBITUR|KODE_KANTOR_CABANG|OPERASI_DATA|STATUS_DELETE|CREATE_DATE|UPDATE_DATE
0101|031|201803||01185969803643771640|1|0000011553854940005314635|Frances Russel|Frances Russel|02|L|Kota Tebing Tinggi|19781122|Matteo Kutch|0000011674356026239882478|Jalan Dummy Slik 2030 No. 5893520012 Kota Tebing Tinggi|Kelurahan Dummy 1871|Kecamatan Dummy 2616|6209|50155|78118046|71945412072|raymond@weimannhickle.info|ID|028|Labadie, Grant and Dickens|522100|80346 Emilio Center|9000|3|362|C|T|20180731145354|
0101|028|201803||15925704319914400775|1|0000012859379986943377485|Myriam Bartell|Myriam Bartell|05|P|Kab. Minahasa Utara|19770201|Jeffery Stanton|0000006796641174085223681|Jalan Dummy Slik 1634 No. 6625321371 Kab. Minahasa Utara|Kelurahan Dummy 1903|Kecamatan Dummy 1802|6209|86605|275983414|59892101760|anita@jonespouros.uk|ID|028|Adams Inc and Sons|522100|47828 Deshawn Springs|9000|2|362|C|T|20180731145354|
0101|028|201803||08639788494981539926|1|0000000915290366581671716|Breana Raynor|Breana Raynor|05|P|Kab. Minahasa Utara|19890210|Jan Renner|0000016832705716970648794|Jalan Dummy Slik 870 No. 2078115262 Kab. Minahasa Utara|Kelurahan Dummy 1150|Kecamatan Dummy 491|6209|52078|133803707|65673571231|trisha_gerlach@braun.ca|ID|028|Kuphal LLC|522100|215 Weissnat Spurs|9000|1|362|C|T|20180731145354|
0101|028|201803||12265058052298062733|1|0000018068733482010546961|Dawn Wintheiser|Dawn Wintheiser|05|P|Kab. Minahasa Utara|19510416|Drake Swift|0000011688929623799791888|Jalan Dummy Slik 1602 No. 3468180142 Kab. Minahasa Utara|Kelurahan Dummy 458|Kecamatan Dummy 692|6209|11946|53451558|56659703280|ronny_hettinger@kertzmannblanda.us|ID|028|Spencer Inc and Sons|522100|8208 Davonte Cove|9000|1|362|C|T|20180731145354|
0101|028|201803||08171728831966348154|1|0000018072765224478903266|Amelie Schaefer|Amelie Schaefer|05|P|Kab. Minahasa Utara|19670423|Agustina Murphy|0000002688336526106865219|Jalan Dummy Slik 711 No. 2304057881 Kab. Minahasa Utara|Kelurahan Dummy 2281|Kecamatan Dummy 528|6209|59346|82188508|38096392415|amely@rathwaters.co.uk|ID|028|Runolfsson LLC|522100|41013 Cremin Shoal|9000|2|362|C|T|20180731145354|
0101|028|201803||07508973185212656411|1|0000011341230275536494978|Tamia McGlynn|Tamia McGlynn|05|P|Kab. Minahasa Utara|19620824|Justina Kling|0000009944257249696281857|Jalan Dummy Slik 1476 No. 1303376594 Kab. Minahasa Utara|Kelurahan Dummy 180|Kecamatan Dummy 1278|6209|54280|168229559|65624152672|abdul.rolfson@trantow.name|ID|028|Goldner, Barrows and Gulgowski|522100|5537 Bergstrom Plains|9000|1|362|C|T|20180731145354|
0101|028|201803||11891030444445983566|1|0000010504063298456159908|Reilly Wintheiser|Reilly Wintheiser|05|P|Kab. Minahasa Utara|19941227|Carson Runolfsson|0000000716539143086482201|Jalan Dummy Slik 827 No. 3319373179 Kab. Minahasa Utara|Kelurahan Dummy 218|Kecamatan Dummy 2661|6209|18632|43982252|76307773887|richard_kilback@bauch.ca|ID|028|Quitzon-Stanton|522100|15761 Watson Forest|9000|2|362|C|T|20180731145354|
0101|028|201803||02914113782037143393|1|0000006446956801894002899|Deshawn Predovic|Deshawn Predovic|05|P|Kab. Minahasa Utara|19800821|Micah Glover|0000006859505110768276487|Jalan Dummy Slik 836 No. 5429653491 Kab. Minahasa Utara|Kelurahan Dummy 1475|Kecamatan Dummy 2278|5302|45616|206644103|38036140036|alaina@bashirian.co.uk|ID|022|Ebert-Zulauf|361000|262 Raynor Ford|9000|2|266|C|T|20180731145354|
0101|022|201803||16111531064550034770|1|0000014336095783448300586|Maddison Mayer|Maddison Mayer|04|P|Kab. Pontianak|19581003|Nikki Herzog|0000009681365785235931843|Jalan Dummy Slik 1852 No. 3024330844 Kab. Pontianak|Kelurahan Dummy 556|Kecamatan Dummy 741|5302|9193|215855480|81683584684|libby.metz@bogan.ca|ID|022|Collier-Dietrich|361000|446 Streich Overpass|9000|2|266|C|T|20180731145354|
0101|022|201803||00226063045749716743|1|0000001038224912662218742|Millie Baumbach|Millie Baumbach|04|P|Kab. Pontianak|19900525|Schuyler Jerde|0000004896108105349789331|Jalan Dummy Slik 822 No. 1672283929 Kab. Pontianak|Kelurahan Dummy 1577|Kecamatan Dummy 2758|5302|43030|81983306|61678165322|merritt@oconnell.name|ID|022|Collins LLC|361000|80153 Stoltenberg Motorway|9000|2|266|C|T|20180731145354|
0101|022|201803||03199065933444623911|1|0000007905063951591479481|Hermann Raynor|Hermann Raynor|04|P|Kab. Pontianak|19390218|Eleanora Veum|0000008611809735956915111|Jalan Dummy Slik 2891 No. 8773389378 Kab. Pontianak|Kelurahan Dummy 2330|Kecamatan Dummy 252|5302|73641|113912833|51468900937|florine@schmeler.info|ID|022|Halvorson Group|361000|806 Fleta Lights|9000|3|266|C|T|20180731145354|
0101|022|201803||05823967296421012365|1|0000017798649364360578264|Aubrey Beier|Aubrey Beier|04|P|Kab. Pontianak|19750522|Maia Streich|0000014272816256494481247|Jalan Dummy Slik 324 No. 1684333292 Kab. Pontianak|Kelurahan Dummy 1905|Kecamatan Dummy 1262|5302|48419|201059861|76405065041|karson_yundt@purdymcclure.uk|ID|022|Zboncak-Moore|361000|182 Champlin Inlet|9000|2|266|C|T|20180731145354|
0101|022|201803||09696057444517255788|1|0000002099604295830342806|Jasmin Mueller|Jasmin Mueller|04|P|Kab. Pontianak|19590821|Johann Buckridge|0000015059959705979194676|Jalan Dummy Slik 1492 No. 1943643272 Kab. Pontianak|Kelurahan Dummy 250|Kecamatan Dummy 2830|5302|40755|222034127|76195766724|logan@mclaughlindamore.ca|ID|022|Hartmann, Okuneva and Nader|361000|4148 Ivah Stravenue|9000|1|266|C|T|20180731145354|
